Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Henderson,ENG,GK,28-063,36.0,1242,1009,1237,4,1,1,1242,0,0,,0,,715,4262,2027,0,0,0,2,0,549,0,Matches
Mitchell,ENG,DF,25-255,33.4,1692,108,585,656,464,43,1692,34,14,41.2,16,47.1,787,3595,1629,56,33,9,36,30,874,169,Matches
Muñoz,COL,DF,28-353,33.9,1927,114,538,793,616,101,1927,54,21,38.9,31,57.4,766,3834,1691,57,37,18,52,19,922,199,Matches
Guéhi,ENG,DF,24-305,34.0,2131,312,1052,942,148,39,2131,15,12,80.0,2,13.3,1141,5570,2931,22,17,1,16,18,1330,10,Matches
Lacroix,FRA,DF,25-038,32.6,1851,334,1120,654,84,45,1851,14,8,57.1,4,28.6,989,4658,2148,8,5,0,21,5,1093,7,Matches
Mateta,FRA,FW,27-320,28.6,717,25,59,341,331,92,715,45,20,44.4,21,46.7,386,2048,961,41,20,10,70,43,524,120,Matches
Eze,ENG,"MF,FW",26-319,28.0,1382,15,183,647,587,92,1380,133,64,48.1,61,45.9,819,4970,2321,67,48,21,55,44,889,150,Matches
Sarr,SEN,MF,27-078,28.4,1033,44,169,386,488,130,1033,56,17,30.4,30,53.6,570,3512,1970,71,43,27,66,42,702,175,Matches
Lerma,COL,"MF,DF",30-201,23.3,1311,97,411,678,232,28,1311,12,6,50.0,4,33.3,612,2314,1041,12,10,0,15,17,767,26,Matches
Hughes,ENG,MF,30-027,22.1,1145,43,271,585,301,15,1145,15,4,26.7,7,46.7,499,2542,1155,19,22,1,20,27,629,26,Matches
Richards,USA,DF,25-047,19.4,1044,118,556,421,73,19,1044,6,1,16.7,5,83.3,491,2221,941,6,5,0,5,5,584,2,Matches
Wharton,ENG,MF,20-346,14.6,871,30,204,462,212,11,871,10,2,20.0,8,80.0,430,2014,1078,14,23,2,17,13,533,11,Matches
Kamada,JPN,MF,28-282,16.2,877,19,190,460,234,31,877,16,6,37.5,8,50.0,444,2154,1045,24,19,5,16,19,560,54,Matches
Chalobah,ENG,DF,25-313,11.8,594,66,275,276,51,14,594,10,6,60.0,2,20.0,278,1213,661,11,9,1,4,7,317,6,Matches
Nketiah,ENG,"FW,MF",25-349,10.3,379,10,41,161,184,64,379,21,10,47.6,8,38.1,226,1585,821,39,22,14,33,16,275,72,Matches
Clyne,ENG,"DF,MF",34-039,5.4,273,18,111,125,37,3,273,1,0,0.0,1,100.0,158,651,314,6,2,3,5,2,178,8,Matches
Doucouré,MLI,MF,25-126,5.0,263,11,56,165,45,4,263,5,2,40.0,2,40.0,133,581,280,2,7,1,4,7,160,7,Matches
Devenny,NIR,MF,21-215,4.8,240,7,42,123,80,7,240,4,2,50.0,2,50.0,113,602,277,4,5,1,17,2,147,13,Matches
Édouard,FRA,"MF,FW",27-118,1.3,45,1,4,23,18,8,45,1,0,0.0,1,100.0,23,107,50,2,1,2,4,1,26,7,Matches
Andersen,DEN,DF,28-348,1.0,93,14,38,50,5,0,93,0,0,,0,,49,189,103,1,1,0,0,1,67,1,Matches
Riad,MAR,DF,21-331,1.0,90,5,41,49,1,0,90,0,0,,0,,58,318,232,2,0,0,1,0,69,0,Matches
Chilwell,ENG,DF,28-144,1.9,121,7,42,54,30,2,121,5,2,40.0,2,40.0,49,241,181,2,1,0,2,2,54,12,Matches
Schlupp,GHA,"MF,DF",32-142,1.1,79,2,9,31,41,6,79,1,1,100.0,0,0.0,30,150,67,4,1,1,7,0,41,9,Matches
Esse,ENG,MF,20-001,0.5,31,0,5,8,18,7,31,2,0,0.0,2,100.0,18,73,21,0,1,0,1,1,21,8,Matches
França,BRA,"FW,MF",21-043,0.3,15,0,0,5,10,4,15,0,0,,0,,9,43,25,1,1,1,1,0,10,2,Matches
Ayew,GHA,"FW,MF",33-245,0.2,12,0,0,7,5,1,12,0,0,,0,,6,25,12,0,0,0,0,1,9,1,Matches
Kporha,ENG,DF,18-303,0.1,11,1,4,2,5,0,11,0,0,,0,,4,46,36,1,1,0,0,2,3,0,Matches
Agbinone,ENG,MF,19-228,0.1,8,0,0,2,6,0,8,2,0,0.0,1,50.0,5,53,23,2,0,0,0,1,5,1,Matches
Ward,ENG,DF,35-197,0.0,2,0,0,2,0,0,2,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches
Total,,,27.0,36.0,19479,2410,7243,8112,4307,767,19475,462,198,42.9,218,47.2,9808,49571,24041,474,334,118,470,325,11338,1096,
Total,,,26.8,36.0,23958,2358,7313,11044,5824,849,23956,699,305,43.6,310,44.3,13219,71091,36791,644,465,171,540,416,15996,1440,
