player,nation,position,age,90s_played,total_passes_attempted,live_ball_passes,dead_ball_passes,free_kick_passes,through_balls,switches,crosses,throw_ins_taken,corners_taken,inswinging_corners,outswinging_corners,straight_corners,total_passes_completed,passes_offside,passes_blocked
Martínez,ARG,GK,32,34.0,1332,1067,258,88,0,2,0,0,0,0,0,0,1043,7,0
Tielemans,BEL,MF,28,33.3,2044,1831,206,98,24,8,118,2,85,63,8,1,1679,7,37
Rogers,ENG,"FW,MF",22,32.7,860,807,47,2,21,6,23,9,0,0,0,0,633,6,41
Konsa,ENG,DF,27,30.6,1563,1433,129,79,6,0,5,34,0,0,0,0,1449,1,21
Watkins,ENG,FW,29,26.9,396,387,6,0,0,1,7,0,0,0,0,0,292,3,16
Digne,FRA,DF,31,26.1,1277,1017,258,44,2,4,140,155,57,37,10,0,956,2,41
McGinn,SCO,"MF,FW",30,23.0,803,749,53,25,9,2,54,3,17,9,3,0,661,1,15
Cash,POL,DF,27,21.0,835,687,148,20,0,1,34,128,0,0,0,0,652,0,18
Torres,ESP,DF,28,20.4,1219,1105,110,62,4,9,1,3,0,0,0,0,1080,4,4
Ramsey,ENG,"FW,MF",23,17.7,580,575,2,0,3,3,12,2,0,0,0,0,492,3,15
Kamara,FRA,MF,25,17.3,848,822,26,24,5,0,1,0,0,0,0,0,753,0,7
Onana,BEL,MF,23,16.3,728,723,4,4,3,0,1,0,0,0,0,0,638,1,10
Bailey,JAM,"FW,MF",27,12.6,386,366,17,0,5,1,34,1,16,9,0,0,273,3,24
Mings,ENG,DF,32,12.4,676,630,46,20,0,3,1,0,0,0,0,0,596,0,7
Maatsen,NED,DF,23,10.7,648,559,89,13,1,1,48,72,4,2,0,0,530,0,24
Carlos,BRA,DF,32,9.2,603,575,25,17,0,6,0,0,0,0,0,0,534,3,0
Asensio,ESP,MF,29,6.8,248,215,31,12,1,1,25,0,18,9,0,0,199,2,4
Disasi,FRA,DF,27,5.4,280,258,20,9,1,0,1,11,0,0,0,0,243,2,5
Bogarde,NED,"DF,MF",21,5.3,272,239,31,14,0,0,0,17,0,0,0,0,240,2,1
García,ESP,"DF,MF",22,3.5,201,176,25,0,0,0,18,25,0,0,0,0,174,0,5
Durán,COL,FW,21,7.1,163,155,7,0,2,0,3,0,0,0,0,0,115,1,4
Rashford,ENG,FW,27,4.9,164,134,29,5,3,1,28,1,21,15,0,0,117,1,9
Barkley,ENG,MF,31,6.3,379,365,13,11,0,2,1,1,0,0,0,0,326,1,7
Jaden Philogene Bidace,ENG,"FW,MF",23,3.7,86,85,1,0,1,0,4,1,0,0,0,0,63,0,9
Malen,NED,FW,26,3.3,69,64,4,0,0,1,7,1,0,0,0,0,48,1,3
Olsen,SWE,GK,35,2.0,76,57,19,7,0,0,0,0,0,0,0,0,54,0,0
Nedeljković,SRB,DF,19,1.4,53,41,12,1,0,0,1,11,0,0,0,0,47,0,0
Buendía,ARG,"MF,FW",28,1.1,60,59,1,1,1,0,0,0,0,0,0,0,49,0,0
