player,nation,position,age,90s_played,shot_creating_actions,shot_creating_actions_per_90,live_passes_sca,dead_passes_sca,take_ons_sca,shots_sca,fouls_drawn_sca,def_sca,goal_creating_actions,gca_per_ninety,live_passes_gca,dead_passes_gca,take_ons_gca,shots_gca,fouls_drawn_gca,def_gca
Dean Henderson,ENG,GK,28,36.0,3,0.08,2,1,0,0,0,0,0,0.0,0,0,0,0,0,0
Tyrick Mitchell,ENG,DF,25,33.4,71,2.13,64,1,0,3,2,1,6,0.18,5,0,0,0,1,0
Daniel Muñoz,COL,DF,28,33.9,83,2.45,67,2,2,6,1,5,10,0.3,8,0,1,1,0,0
Marc Guéhi,ENG,DF,24,34.0,44,1.29,36,0,0,4,2,2,5,0.15,4,0,0,0,0,1
Maxence Lacroix,FRA,DF,25,32.6,28,0.86,23,1,0,4,0,0,4,0.12,2,1,0,1,0,0
Jean-Philippe Mateta,FRA,FW,27,28.6,63,2.2,42,0,5,11,5,0,9,0.31,4,0,3,2,0,0
Eberechi Eze,ENG,"MF,FW",26,28.0,131,4.68,68,29,11,13,9,1,10,0.36,9,1,0,0,0,0
Ismaila Sarr,SEN,MF,27,28.4,106,3.73,78,0,6,8,14,0,11,0.39,8,0,1,0,2,0
Jefferson Lerma,COL,"MF,DF",30,23.3,45,1.93,36,5,0,3,0,1,3,0.13,3,0,0,0,0,0
Will Hughes,ENG,MF,30,22.1,65,2.95,40,17,1,2,5,0,6,0.27,2,3,0,1,0,0
Chris Richards,USA,DF,25,19.4,8,0.41,4,0,0,2,1,1,2,0.1,0,0,0,2,0,0
Adam Wharton,ENG,MF,20,14.6,59,4.03,45,11,0,2,0,1,6,0.41,4,2,0,0,0,0
Daichi Kamada,JPN,MF,28,16.2,50,3.09,37,6,1,3,1,2,3,0.19,2,1,0,0,0,0
Trevoh Chalobah,ENG,DF,25,11.8,11,0.93,10,0,1,0,0,0,0,0.0,0,0,0,0,0,0
Eddie Nketiah,ENG,"FW,MF",25,10.3,27,2.62,17,0,3,3,4,0,2,0.19,1,0,0,0,1,0
Nathaniel Clyne,ENG,"DF,MF",34,5.4,3,0.56,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Cheick Doucouré,MLI,MF,25,5.0,9,1.79,5,0,0,2,1,1,3,0.6,1,0,0,1,1,0
Justin Devenny,NIR,MF,21,4.8,11,2.28,8,2,0,1,0,0,0,0.0,0,0,0,0,0,0
Odsonne Édouard,FRA,"MF,FW",27,1.3,1,0.78,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Joachim Andersen,DEN,DF,28,1.0,1,1.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Chadi Riad,MAR,DF,21,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Ben Chilwell,ENG,DF,28,1.9,6,3.18,5,0,0,1,0,0,0,0.0,0,0,0,0,0,0
Jeffrey Schlupp,GHA,"MF,DF",32,1.1,7,6.06,5,0,1,1,0,0,0,0.0,0,0,0,0,0,0
Romain Esse,ENG,MF,20,0.5,3,5.63,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Matheus França,BRA,"FW,MF",21,0.3,1,3.46,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0
Jordan Ayew,GHA,"FW,MF",33,0.2,1,4.29,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Caleb Kporha,ENG,DF,18,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Asher Agbinone,ENG,MF,19,0.1,1,15.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Joel Ward,ENG,DF,35,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Squad Total,,,27,36.0,838,23.28,602,75,31,70,45,15,80,2.22,53,8,5,8,5,1
Opponent Total,,,26,36.0,801,22.25,576,71,41,74,24,15,79,2.19,53,4,5,9,4,4
